iter	Passed	Remaining
435	1191	1541
436	1192	1536
437	1193	1531
438	1194	1526
439	1195	1521
440	1196	1516
441	1197	1512
442	1198	1507
443	1199	1502
444	1201	1498
445	1203	1494
446	1204	1490
447	1205	1485
448	1206	1480
449	1207	1475
450	1208	1471
451	1209	1466
452	1210	1461
453	1211	1457
454	1212	1452
455	1213	1447
456	1214	1443
457	1215	1438
458	1218	1435
459	1219	1431
460	1220	1426
461	1221	1422
462	1222	1417
463	1223	1413
464	1224	1408
465	1225	1404
466	1226	1399
467	1227	1395
468	1228	1391
469	1229	1386
470	1230	1382
471	1232	1378
472	1233	1374
473	1234	1370
474	1235	1365
475	1236	1361
476	1237	1357
477	1238	1352
478	1239	1348
479	1240	1344
480	1241	1339
481	1242	1335
482	1243	1331
483	1244	1327
484	1246	1323
485	1248	1320
486	1249	1316
487	1250	1311
488	1251	1307
489	1252	1303
490	1253	1299
491	1254	1295
492	1255	1291
493	1256	1287
494	1257	1283
495	1258	1279
496	1259	1274
497	1260	1270
498	1262	1267
499	1263	1263
500	1265	1260
501	1266	1256
502	1267	1252
503	1268	1248
504	1270	1245
505	1271	1241
506	1272	1237
507	1273	1233
508	1274	1229
509	1275	1225
510	1277	1222
511	1278	1218
512	1279	1215
513	1280	1211
514	1282	1207
515	1283	1203
516	1284	1199
517	1285	1196
518	1286	1192
519	1287	1188
520	1288	1184
521	1289	1180
522	1290	1177
523	1291	1173
524	1293	1170
525	1294	1166
526	1295	1163
527	1297	1159
528	1298	1155
529	1299	1152
530	1300	1148
531	1301	1144
532	1302	1141
533	1303	1137
534	1304	1133
535	1305	1129
536	1306	1126
537	1307	1123
538	1309	1119
539	1310	1116
540	1311	1112
541	1312	1109
542	1313	1105
543	1314	1102
544	1315	1098
545	1316	1094
546	1317	1091
547	1318	1087
548	1319	1084
549	1320	1080
550	1321	1077
551	1323	1074
552	1325	1071
553	1326	1067
554	1327	1064
555	1328	1061
556	1329	1057
557	1330	1054
558	1331	1050
559	1332	1047
560	1333	1043
561	1334	1040
562	1335	1036
563	1336	1033
564	1338	1030
565	1340	1027
566	1341	1024
567	1342	1020
568	1343	1017
569	1344	1014
570	1345	1010
571	1346	1007
572	1347	1004
573	1348	1000
574	1349	997
575	1350	994
576	1351	990
577	1352	987
578	1354	985
579	1356	981
580	1357	978
581	1358	975
582	1359	972
583	1360	968
584	1361	965
585	1362	962
586	1363	959
587	1364	955
588	1365	952
589	1366	949
590	1367	946
591	1368	943
592	1370	940
593	1371	937
594	1372	934
595	1373	931
596	1374	928
597	1376	925
598	1377	922
599	1378	919
600	1379	915
601	1380	912
602	1381	909
603	1382	906
604	1384	903
605	1385	901
606	1386	897
607	1387	894
608	1388	891
609	1389	888
610	1390	885
611	1391	882
612	1392	879
613	1394	876
614	1395	873
615	1396	870
616	1397	867
617	1398	864
618	1399	861
