iter	Passed	Remaining
473	666	739
474	667	738
475	668	736
476	669	734
477	670	732
478	671	730
479	672	728
480	673	727
481	674	725
482	675	723
483	676	721
484	678	719
485	679	718
486	680	716
487	681	714
488	682	712
489	683	710
490	684	709
491	685	707
492	686	705
493	687	703
494	688	702
495	689	700
496	690	698
497	691	696
498	692	694
499	693	693
500	694	691
501	695	689
502	696	687
503	697	686
504	698	684
505	699	682
506	700	680
507	701	679
508	702	677
509	703	675
510	704	673
511	705	672
512	706	670
513	707	668
514	708	667
515	709	665
516	710	663
517	711	661
518	712	660
519	713	658
520	714	656
521	715	655
522	716	653
523	717	651
524	718	650
525	719	648
526	720	646
527	721	645
528	722	643
529	723	641
530	724	640
531	725	638
532	726	636
533	727	635
534	728	633
535	729	631
536	730	630
537	731	628
538	732	626
539	733	624
540	734	623
541	735	621
542	736	620
543	737	618
544	738	616
545	739	615
546	740	613
547	741	611
548	742	610
549	743	608
550	744	607
551	745	605
552	746	603
553	747	602
554	748	600
555	749	598
556	750	597
557	751	595
558	752	593
559	753	592
560	754	590
561	755	589
562	756	587
563	757	585
564	758	584
565	759	582
566	760	581
567	761	579
568	762	577
569	763	576
570	764	574
571	765	573
572	766	571
573	767	569
574	769	568
575	770	566
576	771	565
577	772	563
578	773	562
579	774	560
580	775	558
581	776	557
582	777	555
583	778	554
584	779	552
585	780	551
586	781	549
587	782	548
588	783	546
589	784	544
590	785	543
591	786	541
592	787	540
593	788	538
594	789	537
595	790	535
596	791	534
597	792	532
598	793	531
599	795	530
600	796	528
601	798	527
602	799	526
603	800	524
604	801	523
605	802	521
606	803	520
607	804	518
608	805	517
609	806	515
610	807	514
611	808	512
612	809	511
613	810	509
614	811	508
615	812	506
616	813	505
617	814	503
618	815	502
619	816	500
620	817	499
621	818	497
622	819	496
623	820	494
624	821	493
625	822	491
626	823	489
627	824	488
628	825	486
629	826	485
630	827	483
631	828	482
632	829	480
633	830	479
634	831	477
635	832	476
636	833	475
637	834	473
638	835	472
639	836	470
640	837	469
641	838	467
642	839	466
643	840	464
644	841	463
645	842	461
646	843	460
647	844	458
648	845	457
649	846	455
650	847	454
651	848	452
652	849	451
653	850	449
654	851	448
655	852	447
656	853	445
657	854	444
658	855	442
659	856	441
660	857	439
661	858	438
662	859	436
663	860	435
664	861	434
665	862	432
666	863	431
667	864	429
668	865	428
669	866	426
670	867	425
671	868	424
672	869	422
673	870	421
674	871	419
675	872	418
676	873	416
677	874	415
678	875	414
679	876	412
680	877	411
681	878	409
682	879	408
683	880	406
684	881	405
685	882	404
686	883	402
687	884	401
688	885	399
689	887	398
690	888	397
691	889	395
692	890	394
693	891	392
694	892	391
695	893	390
696	894	388
697	895	387
698	896	385
699	897	384
700	898	383
701	899	381
702	900	380
703	901	378
704	902	377
705	902	375
706	903	374
707	904	373
708	905	371
709	906	370
710	907	369
711	908	367
712	909	366
713	910	364
714	911	363
715	912	362
716	914	360
717	915	359
718	916	358
719	917	356
720	918	355
721	919	353
722	920	352
723	921	351
724	922	349
725	923	348
726	924	347
727	925	345
728	926	344
729	927	343
730	928	341
731	929	340
732	930	339
733	931	337
734	932	336
735	933	335
736	934	333
737	936	332
738	937	330
739	938	329
740	939	328
741	940	326
742	941	325
743	942	324
744	943	322
745	944	321
746	945	320
747	946	318
748	947	317
749	948	316
750	949	314
751	950	313
752	951	312
753	952	310
754	953	309
755	954	307
756	955	306
757	956	305
758	957	303
759	958	302
760	959	301
761	960	299
762	961	298
763	962	297
764	963	295
765	964	294
766	965	293
767	966	291
768	967	290
769	968	289
770	969	287
771	970	286
772	971	285
773	972	283
774	973	282
775	974	281
776	975	280
777	976	278
778	977	277
779	978	276
780	979	274
781	980	273
782	981	272
783	982	270
784	983	269
785	984	268
786	985	266
787	986	265
788	987	264
789	988	262
790	989	261
791	990	260
792	991	258
793	992	257
794	993	256
795	994	254
796	996	253
797	997	252
798	997	251
799	998	249
800	1000	248
801	1000	247
802	1001	245
803	1003	244
804	1004	243
805	1005	241
806	1005	240
807	1007	239
808	1008	237
809	1009	236
810	1010	235
811	1011	234
812	1012	232
813	1013	231
814	1014	230
815	1015	228
816	1016	227
817	1016	226
818	1017	224
819	1018	223
820	1019	222
821	1020	221
822	1021	219
823	1022	218
824	1024	217
825	1025	215
826	1026	214
827	1027	213
828	1028	212
829	1029	210
830	1030	209
831	1031	208
832	1032	206
833	1033	205
834	1034	204
835	1035	203
836	1036	201
837	1037	200
838	1038	199
839	1039	197
840	1040	196
841	1041	195
842	1042	194
843	1043	192
844	1044	191
845	1045	190
846	1046	189
847	1047	187
848	1048	186
849	1049	185
850	1050	183
851	1051	182
852	1052	181
853	1053	180
854	1054	178
855	1055	177
856	1056	176
857	1057	175
858	1058	173
859	1059	172
860	1060	171
861	1061	169
862	1062	168
863	1063	167
864	1064	166
865	1065	164
866	1066	163
867	1067	162
868	1069	161
869	1070	159
870	1071	158
871	1072	157
872	1073	156
873	1075	154
874	1076	153
875	1077	152
876	1078	151
877	1079	149
878	1080	148
879	1081	147
880	1082	146
881	1083	144
882	1084	143
883	1085	142
884	1086	141
885	1087	139
886	1088	138
887	1089	137
888	1090	136
889	1091	134
890	1092	133
891	1093	132
892	1094	131
893	1095	129
894	1096	128
895	1097	127
896	1098	126
897	1099	124
898	1100	123
899	1101	122
900	1102	121
901	1103	119
902	1104	118
903	1105	117
904	1106	116
905	1107	114
906	1108	113
907	1109	112
908	1110	111
909	1111	109
910	1112	108
911	1113	107
912	1114	106
913	1115	104
914	1116	103
915	1117	102
916	1118	101
917	1119	100
918	1120	98
919	1121	97
920	1122	96
921	1124	95
922	1125	93
923	1126	92
924	1127	91
925	1128	90
926	1129	88
927	1130	87
928	1131	86
929	1132	85
930	1133	84
931	1134	82
932	1135	81
933	1136	80
934	1137	79
935	1138	77
936	1139	76
937	1140	75
938	1141	74
939	1142	72
940	1143	71
941	1144	70
942	1145	69
943	1146	68
944	1147	66
945	1148	65
946	1149	64
947	1150	63
948	1151	61
949	1152	60
950	1153	59
951	1155	58
952	1157	57
953	1158	55
954	1160	54
955	1161	53
956	1162	52
957	1163	51
958	1164	49
959	1165	48
960	1166	47
961	1167	46
962	1168	44
963	1169	43
964	1171	42
965	1172	41
966	1173	40
967	1174	38
968	1176	37
969	1177	36
970	1179	35
971	1180	34
972	1182	32
973	1183	31
974	1184	30
975	1186	29
976	1187	27
